Quel est le plus long fleuve d'Amérique du Nord,Mississipi
Dans quel continent est le Suriname,Amérique
Vrai ou Faux : La Chine partage une frontière avec la Russie.,Vrai
Vrai ou Faux : La cigale périodique sort de terre tous les 17 ans.,Vrai
Vrai ou Faux : L’hippopotame sécrète sa lotion solaire.,Vrai
Vrai ou Faux : Les bébés lièvres et bébés lapins sont presque identiques.,Faux
Vrai ou Faux : Les bois de l’élan d’Amérique pèsent jusqu’à 45 kg (100 lb).,Vrai
Vrai ou Faux : La bataille de Normandie (opération Overlord) a été la plus grande force d’invasion de tous les temps.,Vrai
Vrai ou Faux : Environ 20 000 parachutistes alliés ont été largués pendant la nuit du 5 au 6 juin.,Vrai
Vrai ou Faux : On retrouve la majorité des alligators dans le sud des États-Unis et les crocodiles dans les régions tropicales du monde.,Vrai
Vrai ou Faux : La peau du requin et celle du dauphin se ressemblent à s’y méprendre.,Faux
Vrai ou Faux : Le grizzly et l’ours blanc ont une alimentation similaire.,Faux
